,theme,alt_theme,author,title,year,page_numbers,page_link
0,Baptism,,"Brown, Henry Box, and Charles Stearn",Narrative of Henry Box Brown,1849,23-24,/neh/boxbrown/boxbrown.html#p23
1,Baptism,,"Brown, Josephine",Biography of an American Bondman,"1856, c1855",23-24,/neh/brownj/brownj.html#brownj23
2,Baptism,,"Brown, Rebecca Warren[?]",Memoir of Mrs. Chloe Spear,1832,38-40,/neh/brownrw/brownrw.html#spear38
3,Baptism,,"Henry, George",Life of George Henry,1894,42-43,/neh/henryg/henryg.html#henry42
4,Baptism,,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,17,/neh/johnson1/johnson.html#john17
5,Baptism,,"Marrs, Elijah P.",Life and History of the Rev. Elijah P. Marrs,1885,15,/neh/marrs/marrs.html#p15
6,Baptism,,No Author,Biography of London Ferrill,1854,2-3,/neh/ferrill/ferrill.html#p2
7,Baptism,,"Richmond, Legh",The Negro Servant,1815,141-143,/neh/richmond/richmond.html#rich141
8,Baptism,,"Said, Nicholas",The Autobiography of Nicholas Said,1873,145,/neh/said/said.html#p145
9,Baptism,,"Stevens, Charles Emery",Anthony Burns,1856,164-165,/neh/stevens/stevens.html#steve164
10,Bible ,,Aaron,The Light and Truth of Slavery,1845,19-21,/neh/aaron/aaron.html#p19
11,Bible ,,"Albert, Octavia V. Rogers",The House of Bondage,1890,10-11,/neh/albert/albert.html#albert10
12,Bible ,,"Anderson, Thomas",Interesting Account of Thomas Anderson,1854?,5,/neh/anderson/anderson.html#ander5
13,Bible ,,"Ball, Charles",Fifty Years in Chains,1859,150-151,/fpn/ball/ball.html#ball150
14,Bible ,,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,21,/neh/bibb/bibb.html#bibb21
15,Bible ,,"Davis, Noah",A Narrative of the Life of Rev. Noah Davis,1859,10,/neh/davisn/davis.html#davis10
16,Bible ,,"Hughes, Louis",Thirty Years a Slave from Bondage to Freedom,1897,53,/fpn/hughes/hughes.html#hughes53
17,Bible ,,"Jacobs, Harriet Ann",Incidents in the Life of a Slave Girl,1861,52,/fpn/jacobs/jacobs.html#jac52
18,Bible ,,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,17-18,/neh/johnson1/johnson.html#john17
19,Bible ,,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,9,/neh/offley/offley.html#offley9
20,Bible ,,"Randolph, Peter",Sketches of Slave Life,1855,26,/neh/randol55/randol55.html#rando26
21,Bible ,,"Upham, Mrs. T.C.",Narrative of Phebe Ann Jacobs,1850?,3-4,/neh/upham/upham.html#jacobs3
22,Bible ,,"Williams, James",Narrative of James Williams,1838,71-74,/fpn/williams/williams.html#williams71
23,Bible ,,"Brown, William Wells",My Southern Home,1880,15-20,/neh/brown80/brown80.html#brown15
24,Bible ,,"Fedric, Francis",Slave Life in Virginia and Kentucky,1863,12,/neh/fedric/fedric.html#fred12
25,Bible ,,"Lane, Lunsford",The Narrative of Lunsford Lane,1842,20-21,/neh/lanelunsford/lane.html#lane20
26,Bible ,,"Northup, Solomon",Twelve Years a Slave,1853,127-130,/fpn/northup/northup.html#northup127
27,Bible ,,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,12-14,/neh/offley/offley.html#offley12
28,Bible ,,"Richmond, Legh",The Negro Servant,1815,147,/neh/richmond/richmond.html#rich147
29,Bible ,,"Robinson, Rev. William H.",From Log Cabin to the Pulpit,1913,84-89,/fpn/robinson/robinson.html#robinson84
30,Bible ,,"Watson, Henry",Narrative of Henry Watson,1848,29-31,/neh/watson/watson.html#watson29
31,"Biblical Israel, identification with",,Aaron,The Light and Truth of Slavery,1845,25-26,/neh/aaron/aaron.html#p25
32,"Biblical Israel, identification with",,"Albert, Octavia V. Rogers",The House of Bondage,1890,31,/neh/albert/albert.html#albert31
33,"Biblical Israel, identification with",,"Black, Leonard",The Life and Sufferings of Leonard Black,1847,6,/neh/black/black.html#black6
34,"Biblical Israel, identification with",,"Brown, William Wells",My Southern Home,1880,86-89,/neh/brown80/brown80.html#brown86
35,"Biblical Israel, identification with",,"Grimes, William","Life of William Grimes, the Runaway Slave",1825,28-29,/neh/grimes25/grimes25.html#grime28
36,"Biblical Israel, identification with",,"Horton, George Moses",Life of George M. Horton,1845,x,/fpn/hortonlife/horton.html#hort10
37,"Biblical Israel, identification with",,"Jackson, Mattie J.",The Story of Mattie J. Jackson,1866,21,/neh/jacksonm/jackson.html#jackson21
38,"Biblical Israel, identification with",,"Latta, M. L. (Morgan London)",The History of My Life and Work,1903,40,/neh/latta/latta.html#latta40
39,"Biblical Israel, identification with",,"Meachum, John B.",An Address to All the Colored Citizens of the United States,1846,41-43,/neh/meachum/meachum.html#p41
40,"Biblical Israel, identification with",,"Randolph, Peter",Sketches of Slave Life,1855,6,/neh/randol55/randol55.html#rando6
41,"Biblical Israel, identification with",,"Ray, Emma J. Smith","Twice Sold, Twice Ransomed",1926,20-22,/neh/rayemma/rayemma.html#p20
42,"Biblical Israel, identification with",,"Robinson, Rev. William H.",From Log Cabin to the Pulpit,1913,49-50,/fpn/robinson/robinson.html#robinson49
43,"Christmas, slaves' celebration",,"Brown, William Wells",My Southern Home,1880,95-97,/neh/brown80/brown80.html#brown95
44,"Christmas, slaves' celebration",,"Douglass, Frederick",Life and Times of Frederick Douglass,1892,180-183,/neh/dougl92/dougl92.html#p180
45,"Christmas, slaves' celebration",,"Fedric, Francis",Slave Life in Virginia and Kentucky ,1863,28-19,/neh/fedric/fedric.html#fred28
46,"Christmas, slaves' celebration",,"Hughes, Louis",Thirty Years a Slave from Bondage to Freedom,1897,13-16,/fpn/hughes/hughes.html#hughes13
47,"Christmas, slaves' celebration",,"Smith, James Lindsay",Autobiography of James L. Smith,1881,92-93,/neh/smithj/smithj.html#jsmith92
48,"Christmas, slaves' celebration",,"Stroyer, Jacob",Sketches of My Life in the South,1879,34-36,/neh/stroyer/stroyer.html#p34
49,Condemnation of masters,,Aaron,The Light and Truth of Slavery,1845,6-7,/neh/aaron/aaron.html#p6
50,Condemnation of masters,,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,110,/neh/bibb/bibb.html#bibb110
51,Condemnation of masters,,"Brown, Henry Box",Narrative of the Life of Henry Box Brown,1851,3,/neh/brownbox/brownbox.html#brown3
52,Condemnation of masters,,"Brown, William Wells",Narrative of William W. Brown,1849,37-38,/fpn/brownw/brown.html#BroNarr37
53,Condemnation of masters,,"Douglass, Frederick",Life and Times of Frederick Douglass,1892,100-106,/neh/dougl92/dougl92.html#p100
54,Condemnation of masters,,"Hughes, Louis",Thirty Years a Slave from Bondage to Freedom,1897,90-91,/fpn/hughes/hughes.html#hughes90
55,Condemnation of masters,,"Jackson, John Andrew",The Experience of a Slave in South Carolina,1862,40,/fpn/jackson/jackson.html#Jack40
56,Condemnation of masters,,"Jacobs, Harriet Ann",Incidents in the Life of a Slave Girl,1861,22,/fpn/jacobs/jacobs.html#jac22
57,Condemnation of masters,,"James, Rev. Thomas","Life of Rev. Thomas James, by Himself",1886,8-9,/neh/jamesth/jamesth.html#james8
58,Condemnation of masters,,"Johnson, Isaac",Slavery Days in Old Kentucky,1901,31-33,/neh/johnson/johnson.html#p31
59,Condemnation of masters,,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,29,/fpn/jones/jones.html#AnoJone29
60,Condemnation of masters,,"Long, Rev. John Dixon",Pictures of Slavery in Church and State,1857,166-168,/neh/long/long.html#long166
61,Condemnation of masters,,"Mason, Isaac",Life of Isaac Mason as a Slave,1893,27-32,/fpn/mason/mason.html#mason27
62,Condemnation of masters,,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,15-16,/neh/offley/offley.html#offley15
63,Condemnation of masters,,"Robinson, Rev. William H.",From Log Cabin to the Pulpit,1913,81-84,/fpn/robinson/robinson.html#robinson81
64,Condemnation of masters,,"Roper, Moses","A Narrative of the Adventures and Escape of Moses Roper, from American Slavery",1838,21,/fpn/roper/roper.html#roper21
65,Condemnation of masters,,"Steward, Austin","Twenty-Two Years a Slave, and Forty Years a Freeman",1857,96-101,/fpn/steward/steward.html#steward96
66,Condemnation of masters,,"Troy, Rev. William",Hair-breadth Escapes from Slavery to Freedom,1861,6,/neh/troy/troy.html#p6
67,Condemnation of masters,,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,46,/fpn/veney/veney.html#veney46
68,Conjure ,,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,25-28,/neh/bibb/bibb.html#bibb25
69,Conjure ,,"Brown, William Wells",My Southern Home,1880,10-11,/neh/brown80/brown80.html#brown10
70,Conjure ,,"Brown, William Wells",Narrative of William W. Brown,1849,90-92,/fpn/brownw/brown.html#BroNarr90
71,Conjure ,,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,133-137,/neh/douglasslife/douglass.html#douglass133
72,Conjure ,,"Douglass, Frederick",My Bondage and My Freedom,1855,237-248,/neh/douglass55/douglass55.html#p237
73,Conjure ,,"Grimes, William","Life of William Grimes, the Runaway Slave",1825,23-25,/neh/grimes25/grimes25.html#grime23
74,Conjure ,,"Grimes, William","Life of William Grimes, the Runaway Slave",1855,27-30,/neh/grimes55/grimes55.html#grimes27
75,Conjure ,,"Jamison, M. F. (Monroe Franklin)","Autobiography and Work of Bishop M. F. Jamison, D.D.",1912,34-40,/neh/jamison/jamison.html#jam34
76,Conjure ,,"Stroyer, Jacob",Sketches of My Life in the South,1879,42-45,/neh/stroyer/stroyer.html#p42
77,Conversion experience,,"Albert, Octavia V. Rogers",The House of Bondage,1890,12,/neh/albert/albert.html#albert12
78,Conversion experience,,"Allinson, William J.",Memoir of Quamino Buccau,1851,6-7,/neh/allinson/allinson.html#p6
79,Conversion experience,,"Anderson, Thomas",Interesting Account of Thomas Anderson,1854?,1-4,/neh/anderson/anderson.html#Text
80,Conversion experience,,"Baquaqua, Mahommah Gardo",Biography of Mahommah G. Baquaqua,1854,59-60,/neh/baquaqua/baquaqua.html#p59
81,Conversion experience,,"Black, Leonard",The Life and Sufferings of Leonard Black,1847,20-21,/neh/black/black.html#black20
82,Conversion experience,,"Brinch, Boyrereau and Prentiss, Benjamin F. (Benjamin Franklin)","The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace",1817,204,/neh/brinch/brinch.html
83,Conversion experience,,"Capehart, L. C.",Reminiscences of Isaac and Sukey,1907,11,/neh/capehart/capehart.html#cape11
84,Conversion experience,,"Davis, Noah",A Narrative of the Life of Rev. Noah Davis,1859,19-25,/neh/davisn/davis.html#davis19
85,Conversion experience,,Elizabeth,"Memoir of Old Elizabeth, a Coloured Woman",1863,4-8,/neh/eliza1/eliza1.html#eliza4
86,Conversion experience,,Elizabeth,"Elizabeth, a Colored Minister of the Gospel Born in Slavery",1889,2-4,/neh/eliza2/eliza2.html#eliza2
87,Conversion experience,,"Foster, G. L. (Gustavus Lemuel)",Uncle Johnson,1860,66-67,/neh/foster/foster.html#foster66
88,Conversion experience,,"Grimes, William","Life of William Grimes, The Runaway Slave",1825,28,/neh/grimes25/grimes25.html#grime28
89,Conversion experience,,"Henson, Josiah",The Life of Josiah Henson,1849,26-27,/neh/henson49/henson49.html#p26
90,Conversion experience,,"Henson, Josiah",Truth Stranger Than Fiction,1858,25-30,/neh/henson58/henson58.html#henso25
91,Conversion experience,,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,9-11,/neh/johnson1/johnson.html#john9
92,Conversion experience,,"Jones, Friday",Days of Bondage,1883,1-3,/neh/fjones/jones.html#jones1
93,Conversion experience,,"Jones, Thomas",Experience and Personal Narrative of Uncle Tom Jones,1854,19-20,/neh/jonestom/jones.html#tom19
94,Conversion experience,,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,25-26,/fpn/jones/jones.html#AnoJone25
95,Conversion experience,,"Marrs, Elijah P.",Life and History of the Rev. Elijah P. Marrs,1885,13-15,/neh/marrs/marrs.html#p13
96,Conversion experience,,"McCray, S. J.",Life of Mary F. McCray,1898,10-13,/neh/mccray/mary.html#McCMary10
97,Conversion experience,,No Author,Biography of London Ferrill,1854,1-3,/neh/ferrill/ferrill.html#p1
98,Conversion experience,,"Randolph, Peter",Sketches of Slave Life,1855,25-26,/neh/randol55/randol55.html#rando25
99,Conversion experience,,"Richmond, Legh",The Negro Servant,1815,143-149,/neh/richmond/richmond.html#rich143
100,Conversion experience,,"Robinson, Rev. William H.",From Log Cabin to the Pulpit,1913,137-142,/fpn/robinson/robinson.html#robinson137
101,Conversion experience,,"Smith, James Lindsay",Autobiography of James L. Smith ,1881,26,/neh/smithj/smithj.html#jsmith26
102,Conversion experience,,"Stevens, Charles Emery",Anthony Burns,1856,162-164,/neh/stevens/stevens.html#steve162
103,Conversion experience,,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,15-16,/fpn/veney/veney.html#veney15
104,Conversion experience,,"Williams, Isaac",Aunt Sally,1858,44-45,/neh/sally/sally.html#sally44
105,Funerals,,"Bradford, Sarah H. (Sarah Hopkins)",Scenes in the Life of Harriet Tubman,1869,43-44,/neh/bradford/bradford.html#bradf43
106,Funerals,,"Long, Rev. John Dixon",Pictures of Slavery in Church and State,1857,19-20,/neh/long/long.html#long19
107,Funerals,,No Author,Biography of London Ferrill,1854,3,/neh/ferrill/ferrill.html#p3
108,Funerals,,"Randolph, Peter",Sketches of Slave Life,1855,13-15,/neh/randol55/randol55.html#rando13
109,Funerals,,"Stevens, Charles Emery",Anthony Burns,1856,167-168,/neh/stevens/stevens.html#steve167
110,"Heaven, slaves' notion of",,"Anderson, William J.",Life and Narrative of William J. Anderson,1857,8,/neh/andersonw/andersonw.html#p8
111,"Heaven, slaves' notion of",,"Ball, Charles",Fifty Years in Chains,1859,150,/fpn/ball/ball.html#ball150
112,"Heaven, slaves' notion of",,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,126,/neh/bibb/bibb.html#bibb126
113,"Heaven, slaves' notion of",,"Brown, Rebecca Warren[?]",Memoir of Mrs. Chloe Spear,1832,17,/neh/brownrw/brownrw.html#spear17
114,"Heaven, slaves' notion of",,"Brown, William Wells",My Southern Home,1880,20,/neh/brown80/brown80.html#brown20
115,"Heaven, slaves' notion of",,"Capehart, L.C.",Reminiscences of Isaac and Sukey,1907,9,/neh/capehart/capehart.html#cape9
116,"Heaven, slaves' notion of",,Elizabeth,"Memoir of Old Elizabeth, a Coloured Woman",1863,6,/neh/eliza1/eliza1.html#eliza6
117,"Heaven, slaves' notion of",,"Foster, G. L. (Gustavus Lemuel)",Uncle Johnson,1860,73-75,/neh/foster/foster.html#foster73
118,"Heaven, slaves' notion of",,"Levering, Sarah R.",Memoirs of Margaret Jane Blake of Baltimore,1897,27-28,/neh/levering/levering.html#lev27
119,"Heaven, slaves' notion of",,"Long, Rev. John Dixon",Pictures of Slavery in Church and State,1857,165,/neh/long/long.html#long165
120,"Heaven, slaves' notion of",,"Meachum, John B.",An Address to All the Colored Citizens of the United States,1846,40-41,/neh/meachum/meachum.html#p40
121,"Heaven, slaves' notion of",,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,15,/neh/offley/offley.html#offley15
122,"Heaven, slaves' notion of",,"Randolph, Peter",Sketches of Slave Life,1855,14,/neh/randol55/randol55.html#rando14
123,"Heaven, slaves' notion of",,"Upham, Mrs. T.C.",Narrative of Phebe Ann Jacobs,1850?,6,/neh/upham/upham.html#jacobs6
124,Jesus,,Aaron,The Light and Truth of Slavery,1845,4,/neh/aaron/aaron.html#p4
125,Jesus,,"Black, Leonard",The Life and Sufferings of Leonard Black,1847,53,/neh/black/black.html#black53
126,Jesus,,"Browne, Martha Griffith",Autobiography of a Female Slave,1857,46-48,/neh/browne/browne.html#browne46
127,Jesus,,"Davis, Noah",A Narrative of the Life of Rev. Noah Davis,1859,24,/neh/davisn/davis.html#davis24
128,Jesus,,"Foster, G. L. (Gustavus Lemuel)",Uncle Johnson,1860,70,/neh/foster/foster.html#foster70
129,Jesus,,"Jackson, Mattie J.",The Story of Mattie J. Jackson,1866,5,/neh/jacksonm/jackson.html#jackson5
130,Jesus,,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,15-17,/neh/johnson/johnson.html#john15
131,Jesus,,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,28,/fpn/jones/jones.html#AnoJone28
132,Jesus,,"Jones, Thomas",Experience and Personal Narrative of Uncle Tom Jones,1854,20,/neh/jonestom/jones.html#tom20
133,Jesus,,"Levering, Sarah R.",Memoirs of Margaret Jane Blake of Baltimore,1897,47,/neh/levering/levering.html#lev47
134,Jesus,,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,14-15,/neh/offley/offley.html#offley14
135,Jesus,,"Randolph, Peter",Sketches of Slave Life,1855,9-11,/neh/randol55/randol55.html#rando9
136,Jesus,,"Richmond, Legh",The Negro Servant,1815,145-149,/neh/richmond/richmond.html#rich145
137,Jesus,,"Williams, Isaac",Aunt Sally,1858,44-45,/neh/sally/sally.html#sally44
138,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Adams, John Quincy",Narrative of the Life of John Quincy Adams,1872,6,/neh/adams/adams.html#adams6
139,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Albert, Octavia V. Rogers",The House of Bondage,1890,10-11,/neh/albert/albert.html#albert10
140,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Anderson, Thomas",Interesting Account of Thomas Anderson,1854?,5,/neh/anderson/anderson.html#ander5
141,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Anderson, William J.",Life and Narrative of William J. Anderson ,1857,8-9,/neh/andersonw/andersonw.html#p8
142,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,Anonymous,The Life of Joice Heth,1835,9,/neh/heth/heth.html#heth9
143,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,Anonymous,"A Narrative of ""Griswold""",1845,4,/neh/griswold/griswold.html#griswold4
144,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,21,/neh/bibb/bibb.html#bibb21
145,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Black, Leonard",The Life and Sufferings of Leonard Black,1847,18-19,/neh/black/black.html#black18
146,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Brown, Rebecca Warren[?]",Memoir of Mrs. Chloe Spear,1832,20-31,/neh/brownrw/brownrw.html#spear20
148,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Cugoano, Ottobah",Narrative of the Enslavement of Ottobah Cugoano,1825,126-127,/neh/cugoano/cugoano.html#fish126
149,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Davis, Noah",A Narrative of the Life of Rev. Noah Davis,1859,10,/neh/davisn/davis.html#davis10
150,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,85-86,/neh/douglasslife/douglass.html#douglass85
151,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Ferebee, Rev. L. R.",A Brief History of the Slave Life of Rev. L. R . Ferebee,1882,10,/fpn/ferebee/ferebee.html#ferebee10
152,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Gurley, Ralph Randolph",Sketch of the Life of the Rev. Lott Cary,1835,147,/neh/gurley/gurley.html#cary147
153,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Horton, George Moses",Life of George M. Horton,1845,iv-viii,/fpn/hortonlife/horton.html#hort4
154,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Hughes, Louis",Thirty Years a Slave from Bondage to Freedom,1897,100-103,/fpn/hughes/hughes.html#hughes100
155,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Jacobs, Harriet Ann",Incidents in the Life of a Slave Girl,1861,111-115,/fpn/jacobs/jacobs.html#jac111
156,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Johnson, Isaac",Slavery Days in Old Kentucky,1901,24-25,/neh/johnson/johnson.html#p24
157,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,13-22,/fpn/jones/jones.html#AnoJone13
158,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Lane, Lunsford",The Narrative of Lunsford Lane,1842,20,/neh/lanelunsford/lane.html#lane20
159,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Marrs, Elijah P.",Life and History of the Rev. Elijah P. Marrs,1885,11-12,/neh/marrs/marrs.html#p11
160,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,9-12,/neh/offley/offley.html#offley9
161,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"O'Neal, William",Life and History of William O'Neal,1896,14,/neh/oneal/oneal.html#oneal14
162,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Parker, Allen",Recollections of Slavery Times,1895,54,/neh/parker/parker.html#parker54
163,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Randolph, Peter",Sketches of Slave Life,1855,25-27,/neh/randol55/randol55.html#rando25
164,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Ray, Emma J. Smith","Twice Sold, Twice Ransomed",1926,16,/neh/rayemma/rayemma.html#p16
165,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Richmond, Legh",The Negro Servant,1815,147,/neh/richmond/richmond.html#rich147
166,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Singleton, William Henry",Recollections of My Slavery Days,1922,5-7,/neh/singleton/singleton.html#sing5
167,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Stevens, Charles Emery",Anthony Burns,1856,171-172,/neh/stevens/stevens.html#steve171
168,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Upham, Mrs. T.C.",Narrative of Phebe Ann Jacobs,1850?,3,/neh/upham/upham.html#jacobs3
169,"Literacy:  includes learning to read and write, further education, and experiences related to literacy",,"Williams, James",Narrative of James Williams,1838,26,/neh/williams/williams.html#williams26
170,Marriage,,"Albert, Octavia V. Rogers",The House of Bondage,1890,107-108,/neh/albert/albert.html#albert107
171,Marriage,,"Brown, Henry Box, and Charles Stearn",Narrative of Henry Box Brown,1849,22-23,/neh/boxbrown/boxbrown.html#p22
172,Marriage,,"Brown, William Wells",My Southern Home,1880,44-46,/neh/brown80/brown80.html#brown44
173,Marriage,,"Brown, William Wells",Narrative of William W. Brown,1849,84-89,/fpn/brownw/brown.html#BroNarr84
174,Marriage,,"Bruce, Henry Clay",The New Man,1895,74,/fpn/bruce/bruce.html#bruce74
175,Marriage,,"""Captain Stuart"" [pseud.]",Reuben Maddison,1835,31-32,/neh/captain/captain.html#madd31
176,Marriage,,"Douglass, Frederick", Life and Times of Frederick Douglass,1881,37,/neh/douglasslife/douglass.html#douglass37
177,Marriage,,"Henry, George",Life of George Henry,1894,73-74,/neh/henryg/henryg.html#henry73
178,Marriage,,"Holsey, Lucius Henry, Bp.","Autobiography, Sermons, Addresses, and Essays of Bishop L. H. Holsey, D. D.",1898,11-12,/neh/holsey/holsey.html#hols11
179,Marriage,,"Jackson, Mattie J.",The Story of Mattie J. Jackson,1866,17-18,/neh/jacksonm/jackson.html#jackson17
180,Marriage,,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,30-37,/fpn/jones/jones.html#AnoJone30
181,Marriage,,"Lane, Lunsford",The Narrative of Lunsford Lane,1842,10-11,/neh/lanelunsford/lane.html#lane10
182,Marriage,,"O'Neal, William",Life and History of William O'Neal,1896,33-38,/neh/oneal/oneal.html#oneal33
183,Marriage,,"Parker, Allen",Recollections of Slavery Times,1895,22-27,/neh/parker/parker.html#parker22
184,Marriage,,"Stroyer, Jacob",Sketches of My Life in the South,1879,11-12,/neh/stroyer/stroyer.html#p11
185,Marriage,,"Truth, Sojourner, and Olive Gilbert",Narrative of Sojourner Truth,1850,36-37,/neh/truth50/truth50.html#truth36
186,Marriage,,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,18-25,/fpn/veney/veney.html#veney18
187,Marriage,,"Watson, Henry",Narrative of Henry Watson,1848,18,/neh/watson/watson.html#watson18
188,Marriage,,"Williams, Isaac",Aunt Sally,1858,50-54,/neh/sally/sally.html#sally50
189,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1851,21-23,/neh/bibb/bibb.html#bibb21
190,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Brown, Henry Box, and Charles Stearn",Narrative of Henry Box Brown,1849,26-29,/neh/boxbrown/boxbrown.html#p26
191,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Brown, Henry Box",Narrative of the Life of Henry Box Brown,1851,3-4,/neh/brownbox/brownbox.html#brown3
192,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Brown, William Wells",My Southern Home,1880,52,/neh/brown80/brown80.html#brown52
193,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Clarke, Lewis Garrard",Narrative of the Sufferings of Lewis Clarke,1845,83-84,/neh/clarke/clarke.html#clarke83
